"Numero";"Edad";"Genero";"EstadoCivil";"NivelEducativo";"paisPregunta";"Provincia";"SituacionLaboral";"CondicionLaboral";"RubroLaboral";"Estabilidad";"ClaseSocial";"CoberturaMedica";"PersonasACargo";"Vivienda";"Ahorros";"Inversiones";"Alineacion";"Religion";"Vehiculo";"Television";"Internet";"Fuma";"Crisis";"ganancia1_final";"ganancia1_anterior";"ganancia1_recorrido";"ganancia2_final";"ganancia2_anterior";"ganancia2_recorrido";"ganancia3_final";"ganancia3_anterior";"ganancia3_recorrido";"perdida1_final";"perdida1_anterior";"perdida1_recorrido";"perdida2_final";"perdida2_anterior";"perdida2_recorrido";"perdida3_final";"perdida3_anterior";"perdida3_recorrido";"mix1_final";"mix1_anterior";"mix1_recorrido";"mix2_final";"mix2_anterior";"mix2_recorrido";"mix3_final";"mix3_anterior";"mix3_recorrido";"cambiarRespuesta"
"73";"55 a 64";"Femenino";"Divorciado/a o viudo/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Trabajador independiente";"Registrado (trabajo en blanco)";"Sector privado";"Inseguro";"Clase media";"Ninguna";"1";"Alquila";"Si";"Moneda extranjera";"Centro";"Catolicismo";"Tengo 1";"No";"Wifi por cable";"No";"3 o más";"46";"43";"NO|NO|SI|SI|SI|";"718";"687";"NO|SI|NO|SI|SI|";"10313";"10625";"SI|NO|NO|NO|NO|";"122";"119";"NO|SI|SI|NO|NO|";"1218";"1187";"NO|SI|SI|NO|NO|";"14063";"14375";"NO|SI|NO|NO|SI|";"49";"48";"SI|NO|NO|NO|SI|";"727";"748";"SI|NO|NO|NO|NO|";"2945";"3272";"NO|NO|SI|NO|NO|";"No"
"74";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Obra social";"0";"Propietario";"Si";"Plazo fijo";"Derecha";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por cable";"Ocasionalmente";"0";"72";"69";"NO|SI|IN|SI|SI|";"468";"437";"NO|NO|SI|SI|SI|";"313";"625";"NO|NO|NO|IN|IN|";"196";"193";"NO|NO|NO|NO|NO|";"1968";"1937";"NO|NO|NO|NO|NO|";"19687";"19375";"NO|NO|NO|NO|NO|";"74";"76";"SI|IN|IN|IN|IN|";"353";"367";"IN|SI|SI|IN|IN|";"485";"499";"SI|NO|NO|NO|NO|";"No"
"75";"Mayores a 65";"Femenino";"Divorciado/a o viudo/a";"Universitario o terciario incompleto";"Argentino";"Ciudad Autónoma de Buenos Aires";"Jubilado/a o pensionado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Otras";"0";"Alquila";"No";"Ninguno";"Izquierda";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"3 o más";"4";"7";"NO|NO|NO|IN|NO|";"32";"63";"NO|NO|IN|NO|NO|";"313";"625";"NO|NO|NO|NO|NO|";"196";"193";"IN|IN|IN|IN|IN|";"1968";"1937";"IN|IN|IN|IN|IN|";"19687";"19375";"IN|IN|IN|IN|IN|";"2";"2";"NO|NO|NO|NO|NO|";"5";"6";"NO|NO|NO|NO|NO|";"17";"31";"NO|NO|NO|NO|NO|";"No"
"76";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"OSDE";"0";"Propietario";"Si";"Moneda extranjera";"Sin respuesta";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"3 o más";"72";"69";"NO|SI|NO|SI|SI|";"718";"687";"NO|SI|NO|SI|SI|";"9063";"9375";"NO|SI|SI|SI|NO|";"90";"93";"SI|NO|NO|NO|SI|";"468";"437";"SI|SI|NO|NO|NO|";"7187";"6875";"SI|NO|SI|NO|NO|";"74";"76";"SI|NO|NO|NO|NO|";"327";"306";"NO|NO|SI|SI|SI|";"4898";"5186";"NO|SI|NO|NO|NO|";"No"
"77";"25 a 34";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Trabajador independiente";"No registrado (trabajo en negr";"Sector público";"Seguro";"Clase media";"Ninguna";"0";"Propietario";"Si";"Ninguno";"Sin respuesta";"Cristianismo evangélico";"Tengo 1";"Si";"Wifi por cable";"No";"2";"46";"43";"NO|NO|SI|SI|SI|";"468";"437";"NO|NO|SI|SI|SI|";"1563";"1875";"NO|NO|NO|SI|NO|";"104";"107";"NO|SI|SI|SI|SI|";"1782";"1813";"NO|NO|NO|SI|SI|";"15313";"15625";"NO|NO|SI|SI|SI|";"69";"70";"SI|SI|NO|NO|NO|";"693";"707";"SI|SI|NO|NO|NO|";"2417";"2470";"SI|NO|SI|SI|NO|";"No"
"78";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"No registrado (trabajo en negr";"Sector privado";"Seguro";"Clase media";"Obra social";"0";"Propietario";"No";"Ninguno";"Sin respuesta";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"1";"4";"7";"NO|NO|NO|IN|NO|";"1594";"1563";"SI|SI|NO|NO|SI|";"12813";"13125";"SI|NO|SI|NO|IN|";"128";"131";"NO|SI|NO|SI|SI|";"1156";"1187";"NO|SI|SI|NO|SI|";"10937";"10625";"NO|SI|SI|SI|NO|";"6";"6";"SI|NO|SI|SI|SI|";"1629";"1678";"SI|NO|NO|NO|IN|";"14185";"13780";"SI|NO|NO|NO|SI|";"No"
"79";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"OSDE";"0";"Alquila";"Si";"Acciones";"Derecha";"Catolicismo";"Tengo 1";"Si";"Wifi por cable";"No";"2";"90";"93";"NO|SI|SI|SI|NO|";"906";"937";"NO|SI|SI|SI|NO|";"10313";"10625";"SI|NO|NO|NO|NO|";"90";"93";"SI|NO|NO|NO|SI|";"844";"813";"SI|NO|NO|SI|NO|";"7187";"6875";"SI|NO|SI|NO|NO|";"100";"98";"SI|NO|NO|NO|SI|";"891";"863";"NO|SI|SI|SI|SI|";"9487";"9814";"NO|SI|SI|SI|NO|";"No"
"80";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Inseguro";"Clase media";"Otras";"0";"Propietario";"No";"Moneda extranjera";"Derecha";"Cristianismo evangélico";"Tengo 1";"Si";"Wifi por cable";"No";"2";"46";"43";"NO|NO|SI|SI|SI|";"32";"63";"NO|NO|NO|NO|NO|";"313";"625";"NO|NO|NO|NO|NO|";"134";"131";"NO|SI|NO|SI|NO|";"906";"937";"SI|NO|NO|NO|SI|";"4687";"4375";"SI|SI|NO|NO|NO|";"19";"18";"NO|NO|SI|SI|SI|";"21";"20";"NO|NO|SI|SI|SI|";"103";"89";"NO|NO|NO|SI|SI|";"No"
"81";"35 a 44";"Femenino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Otras";"0";"Alquila";"Si";"Otros";"Sin respuesta";"Catolicismo";"Tengo 1";"Si";"Wifi por cable";"No";"2";"96";"93";"NO|SI|SI|SI|SI|";"968";"937";"NO|SI|SI|SI|SI|";"7187";"6875";"NO|SI|NO|SI|SI|";"90";"93";"SI|NO|NO|NO|SI|";"468";"437";"SI|SI|NO|NO|NO|";"5313";"5625";"SI|NO|SI|SI|SI|";"52";"54";"NO|SI|NO|NO|NO|";"507";"536";"NO|SI|NO|NO|NO|";"1979";"2198";"NO|NO|SI|NO|NO|";"No"
"82";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Swiss Medical";"0";"Alquila";"Si";"Moneda extranjera";"Derecha";"Sin respuesta";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"1";"22";"19";"NO|NO|NO|SI|SI|";"94";"63";"NO|NO|NO|NO|SI|";"2187";"1875";"NO|NO|NO|SI|SI|";"22";"19";"SI|SI|SI|NO|NO|";"468";"437";"SI|SI|NO|NO|NO|";"4687";"4375";"SI|SI|NO|NO|NO|";"18";"18";"NO|SI|SI|SI|SI|";"73";"71";"NO|SI|SI|SI|SI|";"1965";"1902";"NO|SI|SI|SI|SI|";"No"
"83";"35 a 44";"Femenino";"Casado/a o viviendo en pareja";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Trabajador independiente";"Registrado (trabajo en blanco)";"Sector privado";"Inseguro";"Clase baja";"Swiss Medical";"1";"Alquila";"Si";"Plazo fijo";"Centro";"Catolicismo";"Tengo 1";"Si";"Wifi por cable";"No";"1";"46";"43";"NO|NO|SI|SI|SI|";"718";"687";"NO|SI|NO|SI|SI|";"2187";"1875";"NO|NO|NO|SI|SI|";"104";"107";"NO|SI|SI|SI|SI|";"656";"687";"SI|NO|SI|NO|SI|";"5937";"5625";"SI|NO|SI|SI|NO|";"47";"48";"SI|NO|NO|NO|NO|";"591";"570";"NO|SI|SI|NO|SI|";"825";"888";"NO|NO|SI|SI|NO|";"No"
"84";"45 a 54";"Femenino";"Divorciado/a o viudo/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector público";"Seguro";"Clase media";"Otras";"1";"Propietario";"Si";"Ninguno";"Centro";"Catolicismo";"Tengo 1";"Si";"Wifi por fibra óptica";"Ocasionalmente";"3 o más";"96";"93";"NO|SI|SI|SI|SI|";"468";"437";"NO|NO|SI|SI|SI|";"9687";"9375";"NO|SI|SI|SI|SI|";"4";"7";"SI|SI|SI|SI|SI|";"32";"63";"SI|SI|SI|SI|SI|";"10313";"10625";"NO|SI|SI|SI|SI|";"52";"54";"NO|SI|NO|NO|NO|";"297";"311";"NO|SI|NO|SI|NO|";"5065";"5362";"NO|SI|NO|NO|NO|";"No"
"85";"Menores a 18";"Femenino";"Soltero/a";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Ninguna";"0";"Propietario";"No";"Ninguno";"Sin respuesta";"Cristianismo evangélico";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"1";"196";"193";"SI|SI|SI|SI|SI|";"1718";"1687";"SI|SI|IN|SI|SI|";"19687";"19375";"SI|SI|SI|SI|SI|";"22";"19";"SI|SI|SI|NO|NO|";"532";"563";"SI|NO|SI|SI|SI|";"313";"625";"SI|SI|SI|SI|SI|";"19";"13";"NO|NO|NO|NO|SI|";"3243";"3296";"SI|SI|SI|SI|NO|";"613";"1223";"NO|NO|NO|NO|NO|";"Si"
"86";"55 a 64";"Masculino";"Casado/a o viviendo en pareja";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector público";"Seguro";"Clase baja";"OSDE";"3 o más";"Propietario";"No";"Ninguno";"Sin respuesta";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"No";"Wifi por fibra óptica";"No";"2";"22";"19";"NO|NO|NO|SI|SI|";"468";"437";"NO|NO|SI|SI|SI|";"4687";"4375";"NO|NO|SI|SI|SI|";"72";"69";"SI|NO|SI|NO|NO|";"718";"687";"SI|NO|SI|NO|NO|";"7813";"8125";"SI|NO|NO|SI|SI|";"6";"6";"NO|NO|SI|NO|SI|";"15";"29";"NO|NO|NO|NO|NO|";"144";"285";"NO|NO|NO|NO|NO|";"No"
"87";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Ninguna";"0";;;"Ninguno";"Sin respuesta";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"2";"72";"69";"NO|SI|IN|SI|SI|";"468";"437";"NO|NO|SI|SI|SI|";"7813";"8125";"NO|SI|SI|NO|NO|";"154";"157";"NO|NO|SI|SI|SI|";"1718";"1687";"NO|NO|SI|IN|IN|";"15937";"15625";"NO|NO|SI|SI|IN|";"54";"56";"NO|SI|SI|NO|IN|";"183";"197";"NO|NO|SI|SI|IN|";"1246";"1495";"NO|NO|NO|SI|NO|";"Sin respuesta"
"88";"18 a 24";"Femenino";"Soltero/a";"Secundario completo";"Argentino";"Ciudad Autónoma de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Ninguna";"0";"Alquila";"Si";"Plazo fijo";"Sin respuesta";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por cable";"Ocasionalmente";"2";"4";"7";"NO|NO|NO|NO|IN|";"782";"813";"NO|SI|SI|IN|IN|";"1563";"1875";"IN|NO|IN|SI|IN|";"46";"43";"SI|SI|IN|IN|IN|";"1968";"1937";"IN|NO|NO|NO|NO|";"19063";"19375";"IN|IN|IN|IN|SI|";"2";"2";"IN|NO|NO|NO|NO|";"1468";"1444";"SI|SI|SI|IN|SI|";"1775";"1828";"SI|IN|IN|IN|IN|";"Si"
"89";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Otras";"0";"Propietario";"Si";"Moneda extranjera";"Derecha";"Cristianismo evangélico";"Tengo 1";"Si";"Wifi por cable";"No";"0";"46";"43";"NO|NO|SI|SI|SI|";"468";"437";"NO|NO|SI|SI|SI|";"4687";"4375";"NO|NO|SI|SI|SI|";"10";"7";"SI|SI|SI|SI|NO|";"1532";"1563";"IN|NO|SI|SI|SI|";"10937";"10625";"NO|SI|SI|SI|NO|";"69";"70";"SI|SI|NO|NO|NO|";"693";"707";"SI|SI|NO|NO|NO|";"1842";"1983";"NO|NO|SI|SI|NO|";"No"
"90";"18 a 24";"Femenino";"Soltero/a";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No registrado (trabajo en negr";"Sector privado";"Inseguro";"Clase media";"Ninguna";"0";"Propietario";"No";"Ninguno";"Sin respuesta";"Cristianismo evangélico";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"1";"22";"19";"NO|NO|NO|SI|SI|";"218";"187";"NO|NO|NO|SI|SI|";"313";"625";"NO|NO|NO|NO|NO|";"196";"193";"NO|NO|NO|NO|NO|";"1968";"1937";"NO|NO|NO|NO|NO|";"19687";"19375";"NO|NO|NO|NO|NO|";"2";"2";"NO|NO|NO|NO|NO|";"8";"14";"NO|NO|NO|NO|NO|";"17";"31";"NO|NO|NO|NO|NO|";"No"
"91";"35 a 44";"Femenino";"Casado/a o viviendo en pareja";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Trabajador independiente";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Otras";"2";"Alquila";"Si";"Plazo fijo";"Centro";"Otras";"Tengo 1";"Si";"Wifi por cable";"No";"2";"4";"7";"NO|NO|NO|NO|NO|";"32";"63";"NO|NO|NO|NO|NO|";"313";"625";"NO|NO|NO|NO|NO|";"196";"193";"NO|NO|NO|NO|NO|";"1968";"1937";"NO|NO|NO|NO|NO|";"19687";"19375";"NO|NO|NO|NO|NO|";"2";"2";"NO|NO|NO|NO|NO|";"5";"6";"NO|NO|NO|NO|NO|";"17";"31";"NO|NO|NO|NO|NO|";"No"
"92";"35 a 44";"Femenino";"Casado/a o viviendo en pareja";"Maestría completa o mayor";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector público";"Seguro";"Clase media";"Galeno";"2";"Propietario";"Si";"Moneda extranjera";"Sin respuesta";"Sin respuesta";"Tengo 1";"Si";"Wifi por cable";"No";"2";"96";"93";"NO|SI|SI|SI|SI|";"218";"187";"NO|NO|NO|SI|SI|";"4687";"4375";"NO|NO|SI|SI|SI|";"54";"57";"SI|NO|SI|SI|SI|";"32";"63";"SI|SI|SI|SI|SI|";"313";"625";"SI|SI|SI|SI|SI|";"100";"102";"SI|NO|NO|NO|NO|";"210";"216";"SI|NO|NO|NO|NO|";"144";"285";"NO|NO|NO|NO|NO|";"No"
"93";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"OSDE";"0";"Propietario";"Si";"Plazo fijo";"Derecha";"Ateo/a o Agnóstico/a";"Tengo 1";"Si";"Wifi por cable";"No";"2";"28";"31";"NO|NO|SI|NO|NO|";"718";"687";"NO|SI|NO|SI|SI|";"7187";"6875";"NO|SI|NO|SI|SI|";"104";"107";"NO|SI|SI|SI|SI|";"1406";"1437";"NO|SI|NO|NO|SI|";"17813";"18125";"NO|NO|NO|SI|SI|";"38";"38";"SI|NO|SI|NO|SI|";"727";"748";"SI|NO|NO|NO|NO|";"7253";"7472";"SI|NO|NO|NO|NO|";"No"
"94";"25 a 34";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Ciudad Autónoma de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase baja";"Ninguna";"0";"Alquila";"No";"Ninguno";"Centro";"Otras";"No tengo vehículo propio";"No";"Wifi por cable";"No";"1";"134";"131";"SI|NO|SI|NO|SI|";"1468";"1437";"SI|NO|SI|SI|SI|";"9063";"9375";"NO|SI|SI|SI|NO|";"90";"93";"SI|NO|NO|NO|SI|";"782";"813";"SI|NO|NO|SI|SI|";"5937";"5625";"SI|NO|SI|SI|NO|";"203";"207";"SI|SI|NO|NO|NO|";"2131";"2086";"SI|NO|SI|SI|SI|";"5474";"5186";"NO|SI|NO|NO|SI|";"No"
"95";"35 a 44";"Femenino";"Divorciado/a o viudo/a";"Universitario o terciario incompleto";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Otras";"2";"Propietario";"No";"Moneda extranjera";"Sin respuesta";"Cristianismo evangélico";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"3 o más";"140";"143";"SI|NO|SI|SI|NO|";"1218";"1187";"SI|NO|NO|SI|SI|";"4063";"4375";"NO|NO|SI|SI|NO|";"46";"43";"SI|SI|NO|NO|NO|";"968";"937";"SI|NO|NO|NO|NO|";"4687";"4375";"SI|SI|NO|NO|NO|";"7";"11";"NO|NO|NO|NO|NO|";"39";"76";"NO|NO|NO|NO|NO|";"135";"266";"NO|NO|NO|NO|NO|";"No"
"96";"18 a 24";"Masculino";"Soltero/a";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Inseguro";"Clase media";"Obra social";"0";"Propietario";"Si";"Moneda extranjera";"Sin respuesta";"Cristianismo evangélico";"Tengo 2";"Si";"Wifi por fibra óptica";"No";"0";"72";"69";"NO|SI|NO|SI|SI|";"594";"563";"NO|SI|NO|NO|SI|";"5937";"5625";"NO|SI|NO|NO|SI|";"4";"7";"SI|SI|SI|SI|SI|";"32";"63";"SI|SI|SI|SI|SI|";"313";"625";"SI|SI|SI|SI|SI|";"120";"118";"SI|SI|NO|SI|SI|";"885";"903";"SI|SI|NO|NO|NO|";"8853";"9033";"SI|SI|NO|NO|NO|";"No"
"97";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Otras";"0";"Propietario";"Si";"Fondo Común de Inversión";"Centro";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"3 o más";"22";"19";"NO|NO|NO|SI|SI|";"468";"437";"NO|NO|SI|SI|SI|";"4687";"4375";"NO|NO|SI|SI|SI|";"66";"69";"SI|NO|SI|NO|SI|";"468";"437";"SI|SI|NO|NO|NO|";"3437";"3125";"SI|SI|NO|SI|NO|";"32";"32";"SI|SI|NO|NO|NO|";"693";"707";"SI|SI|NO|NO|NO|";"8070";"8211";"SI|SI|SI|NO|NO|";"Si"
"98";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"OSDE";"0";"Propietario";"Si";"Moneda extranjera";"Sin respuesta";"Sin respuesta";"Tengo 1";"Si";"Wifi por fibra óptica";"Ocasionalmente";"2";"22";"19";"NO|NO|NO|SI|SI|";"844";"813";"NO|SI|SI|NO|SI|";"4687";"4375";"NO|NO|SI|SI|SI|";"96";"93";"SI|NO|NO|NO|NO|";"1032";"1063";"NO|SI|SI|SI|SI|";"937";"625";"SI|SI|SI|SI|NO|";"4";"4";"NO|NO|NO|SI|SI|";"386";"361";"NO|NO|SI|SI|SI|";"1842";"1983";"NO|NO|SI|SI|NO|";"No"
"99";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"No registrado (trabajo en negr";"Sector privado";"Inseguro";"Clase media";"Ninguna";"0";"Propietario";"No";"Ninguno";"Derecha";"Cristianismo evangélico";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"1";"46";"43";"NO|NO|SI|SI|SI|";"218";"187";"NO|NO|NO|SI|SI|";"2187";"1875";"NO|NO|NO|SI|SI|";"54";"57";"SI|NO|SI|SI|SI|";"406";"437";"SI|SI|NO|NO|SI|";"10313";"10625";"NO|SI|SI|SI|SI|";"57";"58";"SI|NO|SI|NO|NO|";"222";"216";"SI|NO|NO|NO|SI|";"2349";"2412";"SI|NO|NO|SI|NO|";"No"
"100";"45 a 54";"Femenino";"Casado/a o viviendo en pareja";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"ONG u otros";"Seguro";"Clase media";"Obra social";"2";"Propietario";"Si";"Plazo fijo";"Centro";"Ateo/a o Agnóstico/a";"Tengo 1";"Si";"Wifi por cable";"No";"1";"46";"43";"NO|NO|SI|SI|SI|";"218";"187";"NO|NO|IN|SI|SI|";"2187";"1875";"NO|NO|NO|SI|SI|";"96";"93";"SI|NO|IN|IN|IN|";"906";"937";"SI|IN|IN|IN|SI|";"10313";"10625";"IN|SI|SI|SI|SI|";"47";"48";"SI|IN|IN|IN|IN|";"20";"14";"IN|IN|IN|IN|SI|";"445";"382";"NO|IN|IN|SI|SI|";"No"
"101";"55 a 64";"Femenino";"Casado/a o viviendo en pareja";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Swiss Medical";"0";"Propietario";"Si";"Plazo fijo";;"Catolicismo";"Tengo 1";;"Wifi por cable";"No";"3 o más";"54";"57";"NO|SI|NO|IN|IN|";"1782";"1813";"SI|SI|SI|NO|IN|";"7813";"8125";"NO|SI|SI|NO|IN|";"96";"93";"SI|NO|NO|NO|IN|";"406";"437";"SI|SI|NO|NO|SI|";"16563";"16875";"IN|NO|SI|IN|SI|";"17";"18";"NO|NO|SI|NO|NO|";"956";"1012";"NO|SI|NO|NO|NO|";"4234";"4483";"NO|SI|NO|NO|NO|";"No"
"102";"25 a 34";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Otras";"0";"Propietario";"No";"Ninguno";"Izquierda";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por cable";"Si";"2";"54";"57";"NO|SI|IN|IN|IN|";"94";"63";"NO|NO|NO|NO|SI|";"313";"625";"NO|NO|NO|NO|NO|";"4";"7";"SI|SI|SI|SI|SI|";"1968";"1937";"IN|IN|IN|IN|IN|";"19687";"19375";"IN|IN|IN|IN|IN|";"5";"6";"NO|NO|NO|NO|NO|";"5";"7";"NO|NO|NO|NO|NO|";"17";"31";"NO|NO|NO|NO|NO|";"No"
"103";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Obra social";"0";"Propietario";"No";"Ninguno";"Derecha";"Cristianismo evangélico";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"1";"128";"131";"SI|NO|SI|NO|NO|";"1218";"1187";"SI|NO|NO|SI|SI|";"9063";"9375";"NO|SI|SI|SI|NO|";"116";"119";"NO|SI|SI|NO|SI|";"1094";"1063";"NO|SI|SI|SI|NO|";"10313";"10625";"NO|SI|SI|SI|SI|";"133";"137";"SI|NO|NO|NO|NO|";"1241";"1278";"SI|NO|NO|NO|NO|";"9508";"9796";"SI|NO|NO|NO|NO|";"No"
"104";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"OSDE";"0";"Propietario";"Si";"Plazo fijo";"Sin respuesta";"Catolicismo";"Tengo 1";"Si";"Wifi por cable";"No";"2";"160";"157";"SI|SI|NO|IN|SI|";"1344";"1313";"SI|NO|SI|NO|SI|";"12187";"11875";"SI|IN|NO|SI|SI|";"28";"31";"SI|SI|NO|SI|SI|";"906";"937";"SI|NO|NO|NO|SI|";"2813";"3125";"SI|SI|NO|SI|SI|";"204";"208";"SI|NO|SI|NO|IN|";"1784";"1743";"SI|NO|SI|NO|SI|";"10902";"11277";"IN|SI|SI|SI|NO|";"Si"
"105";"35 a 44";"Masculino";"Soltero/a";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Trabajador independiente";"Registrado (trabajo en blanco)";"Sector privado";"Inseguro";"Clase media";"Otras";"0";"Alquila";"Si";"Moneda extranjera";"Sin respuesta";"Catolicismo";"Tengo 2";"Si";"Wifi por cable";"No";"2";"4";"7";"IN|IN|IN|IN|IN|";"1782";"1813";"SI|SI|SI|IN|NO|";"19063";"19375";"SI|SI|SI|SI|NO|";"46";"43";"SI|SI|NO|NO|NO|";"1782";"1813";"NO|NO|NO|SI|SI|";"7813";"8125";"SI|NO|NO|SI|SI|";"4";"4";"IN|SI|SI|SI|SI|";"1740";"1684";"IN|SI|SI|SI|SI|";"15015";"15615";"NO|SI|SI|NO|NO|";"Sin respuesta"
